2025-01-28 06:06:02 status unpacked libcap2:arm64 1:2.66-5+b1
2025-01-28 06:06:03 install libcom-err2:arm64 <none> 1.47.2-1
2025-01-28 06:06:03 status half-installed libcom-err2:arm64 1.47.2-1
2025-01-28 06:06:03 status unpacked libcom-err2:arm64 1.47.2-1
2025-01-28 06:06:03 install libcrypt1:arm64 <none> 1:4.4.38-1
2025-01-28 06:06:03 status half-installed libcrypt1:arm64 1:4.4.38-1
2025-01-28 06:06:03 status unpacked libcrypt1:arm64 1:4.4.38-1
2025-01-28 06:06:03 install libdb5.3t64:arm64 <none> 5.3.28+dfsg2-9
2025-01-28 06:06:03 status half-installed libdb5.3t64:arm64 5.3.28+dfsg2-9
2025-01-28 06:06:04 status unpacked libdb5.3t64:arm64 5.3.28+dfsg2-9
2025-01-28 06:06:04 install libdebconfclient0:arm64 <none> 0.277
2025-01-28 06:06:04 status half-installed libdebconfclient0:arm64 0.277
2025-01-28 06:06:04 status unpacked libdebconfclient0:arm64 0.277
2025-01-28 06:06:04 install libext2fs2t64:arm64 <none> 1.47.2-1
2025-01-28 06:06:04 status half-installed libext2fs2t64:arm64 1.47.2-1
2025-01-28 06:06:05 status unpacked libext2fs2t64:arm64 1.47.2-1
2025-01-28 06:06:05 install libgcc-s1:arm64 <none> 14.2.0-12
2025-01-28 06:06:05 status half-installed libgcc-s1:arm64 14.2.0-12
2025-01-28 06:06:05 status unpacked libgcc-s1:arm64 14.2.0-12
2025-01-28 06:06:05 install libgmp10:arm64 <none> 2:6.3.0+dfsg-3
2025-01-28 06:06:05 status half-installed libgmp10:arm64 2:6.3.0+dfsg-3
2025-01-28 06:06:05 status unpacked libgmp10:arm64 2:6.3.0+dfsg-3
2025-01-28 06:06:06 install libhogweed6t64:arm64 <none> 3.10-1+b1
2025-01-28 06:06:06 status half-installed libhogweed6t64:arm64 3.10-1+b1
2025-01-28 06:06:06 status unpacked libhogweed6t64:arm64 3.10-1+b1
2025-01-28 06:06:06 install liblz4-1:arm64 <none> 1.9.4-4
2025-01-28 06:06:06 status half-installed liblz4-1:arm64 1.9.4-4
2025-01-28 06:06:06 status unpacked liblz4-1:arm64 1.9.4-4
2025-01-28 06:06:06 install liblzma5:arm64 <none> 5.6.3-1+b1
2025-01-28 06:06:06 status half-installed liblzma5:arm64 5.6.3-1+b1
2025-01-28 06:06:07 status unpacked liblzma5:arm64 5.6.3-1+b1
2025-01-28 06:06:07 install libmd0:arm64 <none> 1.1.0-2+b1
2025-01-28 06:06:07 status half-installed libmd0:arm64 1.1.0-2+b1
2025-01-28 06:06:07 status unpacked libmd0:arm64 1.1.0-2+b1
2025-01-28 06:06:07 install libmount1:arm64 <none> 2.40.4-1
2025-01-28 06:06:07 status half-installed libmount1:arm64 2.40.4-1
2025-01-28 06:06:07 status unpacked libmount1:arm64 2.40.4-1
2025-01-28 06:06:07 install libnettle8t64:arm64 <none> 3.10-1+b1
2025-01-28 06:06:07 status half-installed libnettle8t64:arm64 3.10-1+b1
2025-01-28 06:06:08 status unpacked libnettle8t64:arm64 3.10-1+b1
2025-01-28 06:06:08 install libpam-modules:arm64 <none> 1.5.3-7+b1
2025-01-28 06:06:08 status half-installed libpam-modules:arm64 1.5.3-7+b1
2025-01-28 06:06:12 status unpacked libpam-modules:arm64 1.5.3-7+b1
2025-01-28 06:06:12 install libpam-modules-bin:arm64 <none> 1.5.3-7+b1
2025-01-28 06:06:12 status half-installed libpam-modules-bin:arm64 1.5.3-7+b1
2025-01-28 06:06:13 status unpacked libpam-modules-bin:arm64 1.5.3-7+b1
2025-01-28 06:06:13 install libpam-runtime:all <none> 1.5.3-7
2025-01-28 06:06:13 status half-installed libpam-runtime:all 1.5.3-7
2025-01-28 06:06:13 status unpacked libpam-runtime:all 1.5.3-7
2025-01-28 06:06:13 install libpam0g:arm64 <none> 1.5.3-7+b1
2025-01-28 06:06:13 status half-installed libpam0g:arm64 1.5.3-7+b1
2025-01-28 06:06:13 status unpacked libpam0g:arm64 1.5.3-7+b1
2025-01-28 06:06:14 install libpcre2-8-0:arm64 <none> 10.44-5
2025-01-28 06:06:14 status half-installed libpcre2-8-0:arm64 10.44-5
2025-01-28 06:06:14 status unpacked libpcre2-8-0:arm64 10.44-5
2025-01-28 06:06:14 install libseccomp2:arm64 <none> 2.5.5-2
2025-01-28 06:06:14 status half-installed libseccomp2:arm64 2.5.5-2
2025-01-28 06:06:14 status unpacked libseccomp2:arm64 2.5.5-2
2025-01-28 06:06:14 install libselinux1:arm64 <none> 3.7-3+b1
2025-01-28 06:06:14 status half-installed libselinux1:arm64 3.7-3+b1
2025-01-28 06:06:14 status unpacked libselinux1:arm64 3.7-3+b1
2025-01-28 06:06:15 install libsemanage-common:all <none> 3.7-2
2025-01-28 06:06:15 status half-installed libsemanage-common:all 3.7-2
2025-01-28 06:06:15 status unpacked libsemanage-common:all 3.7-2
2025-01-28 06:06:15 install libsemanage2:arm64 <none> 3.7-2+b1
2025-01-28 06:06:15 status half-installed libsemanage2:arm64 3.7-2+b1
2025-01-28 06:06:15 status unpacked libsemanage2:arm64 3.7-2+b1
2025-01-28 06:06:15 install libsepol2:arm64 <none> 3.7-1
2025-01-28 06:06:15 status half-installed libsepol2:arm64 3.7-1
2025-01-28 06:06:16 status unpacked libsepol2:arm64 3.7-1
2025-01-28 06:06:16 install libsmartcols1:arm64 <none> 2.40.4-1
2025-01-28 06:06:16 status half-installed libsmartcols1:arm64 2.40.4-1
2025-01-28 06:06:16 status unpacked libsmartcols1:arm64 2.40.4-1
2025-01-28 06:06:16 install libss2:arm64 <none> 1.47.2-1
2025-01-28 06:06:16 status half-installed libss2:arm64 1.47.2-1
2025-01-28 06:06:16 status unpacked libss2:arm64 1.47.2-1
2025-01-28 06:06:16 install libssl3t64:arm64 <none> 3.4.0-2
2025-01-28 06:06:16 status half-installed libssl3t64:arm64 3.4.0-2
2025-01-28 06:06:17 status unpacked libssl3t64:arm64 3.4.0-2
2025-01-28 06:06:17 install libstdc++6:arm64 <none> 14.2.0-12
2025-01-28 06:06:17 status half-installed libstdc++6:arm64 14.2.0-12
2025-01-28 06:06:18 status unpacked libstdc++6:arm64 14.2.0-12
2025-01-28 06:06:18 install libsystemd0:arm64 <none> 257.2-1
